noise,severity,yolov5n_f1,yolov8n_f1,yolov5n_rpd,yolov8n_rpd
Fog,1,0.4603,0.4075,0.2909,0.3683
Fog,3,0.4606,0.4101,0.2904,0.3643
Fog,5,0.4544,0.4131,0.3,0.3596
Gaussian Noise,1,0.6336,0.6252,0.0239,0.0308
Gaussian Noise,3,0.5263,0.511,0.1892,0.2079
Gaussian Noise,5,0.2915,0.3157,0.5509,0.5106
Motion Blur,1,0.6033,0.591,0.0706,0.0839
Motion Blur,3,0.3791,0.3686,0.416,0.4286
Motion Blur,5,0.206,0.2199,0.6826,0.6591
Rain Streaks,1,0.625,0.6112,0.0371,0.0525
Rain Streaks,3,0.4757,0.4403,0.2671,0.3175
Rain Streaks,5,0.1183,0.0988,0.8177,0.8468
